dataset_id,source_id,external_id,title,endpoint_url,format,update_frequency,expected_freshness_days,geo_granularity,time_granularity,priority,ingestion_mode,target_tables,personal_data,statistical_secrecy
bdm-taux-chomage,insee-bdm,TAUX-CHOMAGE,Taux de chomage localises,https://api.insee.fr/series/BDM/V1/data/TAUX-CHOMAGE,SDMX-ML,trimestrielle,120,zone_emploi,trimestre,P0,sdmx_pull,fin.public_employment|core.observations,false,false
plf-depenses-etat,data-economie,plf25-depenses-2025-du-bg-et-des-ba-selon-nomenclatures-destination-et-nature,PLF/LFI depenses BG et BA par destination et nature (id par exercice),https://data.economie.gouv.fr/api/explore/v2.1/catalog/datasets/plf25-depenses-2025-du-bg-et-des-ba-selon-nomenclatures-destination-et-nature/records,JSON,annuelle,400,pays,exercice,P0,ods_export,fin.public_budgets|fin.public_budget_lines,false,false
plf-recettes-etat,data-economie,plf25-recettes-du-budget-general,PLF recettes du budget general (id par exercice),https://data.economie.gouv.fr/api/explore/v2.1/catalog/datasets/plf25-recettes-du-budget-general/records,JSON,annuelle,400,pays,exercice,P0,ods_export,fin.public_budgets|fin.public_budget_lines,false,false
execution-budget-etat,data-economie,,Execution du budget de l'Etat en AE/CP (ids annuels decouverts via catalogue),https://data.economie.gouv.fr/api/explore/v2.1/catalog/datasets,JSON,annuelle,420,pays,exercice,P0,ods_export,fin.public_executions,false,false
ofgl-communes,ofgl,ofgl-base-communes-consolidee,Finances des communes (consolidee),https://data.ofgl.fr/api/explore/v2.1/catalog/datasets/ofgl-base-communes-consolidee/records,Parquet,annuelle,420,commune,exercice,P0,ods_export,fin.public_budgets|fin.public_budget_lines|core.observations,false,false
ofgl-gfp,ofgl,ofgl-base-gfp-consolidee,Finances des EPCI a fiscalite propre,https://data.ofgl.fr/api/explore/v2.1/catalog/datasets/ofgl-base-gfp-consolidee/records,Parquet,annuelle,420,epci,exercice,P0,ods_export,fin.public_budgets|fin.public_budget_lines|core.observations,false,false
ofgl-departements,ofgl,ofgl-base-departements-consolidee,Finances des departements,https://data.ofgl.fr/api/explore/v2.1/catalog/datasets/ofgl-base-departements-consolidee/records,Parquet,annuelle,420,departement,exercice,P0,ods_export,fin.public_budgets|fin.public_budget_lines|core.observations,false,false
ofgl-regions,ofgl,ofgl-base-regions-consolidee,Finances des regions,https://data.ofgl.fr/api/explore/v2.1/catalog/datasets/ofgl-base-regions-consolidee/records,Parquet,annuelle,420,region,exercice,P0,ods_export,fin.public_budgets|fin.public_budget_lines|core.observations,false,false
ofgl-dotations-communes,ofgl,dotations-communes,Dotations de l'Etat aux communes (DGCL),https://data.ofgl.fr/api/explore/v2.1/catalog/datasets/dotations-communes/records,Parquet,annuelle,420,commune,exercice,P0,ods_export,fin.public_transfers,false,false
aft-dette-encours,aft,,Encours de la dette negociable de l'Etat,https://www.aft.gouv.fr,XLSX,mensuelle,45,pays,mois,P0,file_download,fin.public_debt,false,false
sirene-stock,data-gouv,base-sirene-des-entreprises-et-de-leurs-etablissements-siren-siret,Fichiers stock Sirene (unites legales et etablissements),https://www.data.gouv.fr/api/1/datasets/base-sirene-des-entreprises-et-de-leurs-etablissements-siren-siret/,Parquet,mensuelle,40,etablissement,mois,P0,file_download,fin.public_companies,true,false
etat-civil-agrege,insee-fichiers,,Naissances et deces agreges par commune,https://www.insee.fr,CSV,annuelle,420,commune,annee,P0,file_download,core.observations,false,false
eurostat-gov-10dd-edpt1,eurostat,gov_10dd_edpt1,Dette et deficit Maastricht (EDP),https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1,JSON-stat,semestrielle,220,pays,annee,P0,sdmx_pull,core.observations,false,false
eurostat-gov-10a-exp,eurostat,gov_10a_exp,Depenses publiques par fonction COFOG,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp,JSON-stat,annuelle,450,pays,annee,P0,sdmx_pull,core.observations,false,false
eurostat-nama-10-pc,eurostat,nama_10_pc,PIB par habitant en SPA,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_pc,JSON-stat,annuelle,450,pays,annee,P0,sdmx_pull,core.observations,false,false
eurostat-une-rt-a,eurostat,une_rt_a,Taux de chomage harmonise annuel,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_a,JSON-stat,annuelle,450,pays,annee,P0,sdmx_pull,core.observations,false,false
datagouv-catalogue,data-gouv,,Catalogue data.gouv.fr (liveness et decouverte),https://www.data.gouv.fr/api/1/site/,JSON,continue,7,,continue,P0,api_pull,meta.dataset_registry,false,false
urssaf-effectifs,urssaf,,Effectifs salaries prives et masse salariale,https://open.urssaf.fr/api/explore/v2.1/catalog/datasets,JSON,trimestrielle,150,commune,trimestre,P1,ods_export,fin.public_employment,false,false
webstat-defaillances,banque-de-france,,Defaillances d'entreprises,https://webstat.banque-france.fr/api/explore/v2.1/catalog/datasets,JSON,mensuelle,60,region,mois,P1,ods_export,fin.public_companies,false,false
